Pair subsys v_lobound v_upbound HIcol HIcolhierr HIcolloerr CIIcol CIIcolerr 1334EW 1334EWerr CII*col CII*colerr 1335EW 1335EWerr CIVcol CIVcolerr 1548EW 1548EWerr 1550EW 1550EWerr NIcol NIcolerr 1134EW 1134EWerr 1199EW 1199EWerr NIIcol NIIcolerr 1083EW 1083EWerr NVcol NVcolerr 1238EW 1238EWerr 1242EW 1242EWerr OIcol OIcolerr 1302EW 1302EWerr OVIcol OVIcolerr 1037EW 1037EWerr MgIcol MgIcolerr 2852EW 2852EWerr MgIIcol MgIIcolerr 2796EW 2796EWerr 2803EW 2803EWerr AlIIcol AlIIcolerr 1670EW 1670EWerr AlIIIcol AlIIIcolerr 1854EW 1854EWerr 1862EW 1862EWerr SiIIcol SiIIcolerr 1190EW 1190EWerr 1193EW 1193EWerr 1304EW 1304EWerr 1260EW 1260EWerr 1526EW 1526EWerr 1808E 1808EWerr SiII*col SiII*colerr 1264EW 1264EWerr SiIIIcol SiIIIcolerr 1206EW 1206EWerr SiIVcol SiIVcolerr 1393EW 1393EWerr 1402EW 1402EWerr FeIIcol FeIIcolerr 1608EW 1608EWerr 2344EW 2344EWerr 2374EW 2374EWerr 2382EW 2382EWerr 2586EW 2586EWerr 2600EW 2600EWerr FeIIIcol FeIIIcolerr 1122EW 122EWerr logU logUhierr logUloerr logavgU logavgUlim logxHI lognEUVB lognQSO logne lognelim linsize linsizelim MH MHhierr MHloerr OH OHhierr OHloerr SiH SiHhierr SiHloerr FeH FeHhierr FeHloerr CH CHhierr CHloerr
J0932+0925 C 675 959 14.3 0.1 0.1  13.50 uplim  0.057  0.021  13.55 uplim  0.038  0.021  13.61 0.11  0.355  0.018  0.079  0.020 / / / / / / / / / /  14.53 uplim / /  0.299  0.022 / / / / / / / / / / / / / / / / / /  12.09 0.11  0.055  0.015  12.56 uplim  0.050  0.019  0.022  0.020  13.26 uplim / / / / / / / /  0.016  0.016  0.062  0.014 / / / /  12.89 0.05  0.150  0.018  12.69 uplim  0.018  0.015  0.000  0.015  12.90 uplim  0.183  0.013  0.002  0.033  0.028  0.042  0.269  0.040  0.006  0.030  0.087  0.038 / / / / -2.7 0.3 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1026+4614 A 296 450 15.4 0.2 0.2  13.02 uplim  0.008  0.007  13.06 uplim -0.016  0.007  13.98 0.02  0.182  0.006  0.156  0.006 / / / / / /  13.32 uplim  0.001  0.007  13.67 0.02  0.086  0.004  0.049  0.004 / / / / / / / / / / / / / / / / / / / / / / / / / / / /  11.98 uplim / / / / / /  0.007  0.005 -0.002  0.008 / / / / / / / / / /  12.91 0.05  0.068  0.007  0.005  0.007 / / / / / / / / / / / / / / / / / / -1.9 0.6 0.3 -1.9 / -3.3 -3.6 -0.9 / / / / -1.5 1.0 1.0 / / / -0.2 0.8 0.2 / / / -0.5 0.5 0.4
J1026+4614 B 450 539 14.6 0.1 0.1  12.95 uplim -0.009  0.006  13.01 uplim -0.004  0.006  13.27 0.03  0.060  0.005  0.055  0.005 / / / / / / / / / /  12.67 uplim  0.005  0.003  0.004  0.004 / / / / / / / / / / / / / / / / / / / / / / / / / / / /  11.96 uplim / / / / / /  0.001  0.004  0.001  0.007 / / / / / / / / / /  12.57 0.08  0.032  0.006  0.009  0.006 / / / / / / / / / / / / / / / / / / -2.5 0.5 0.2 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1038+5027 A 451 701 16.6 0.5 0.5  13.38 uplim -0.011  0.016  13.35 uplim  0.016  0.013  14.08 0.02  0.364  0.019  0.211  0.019 / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /  13.39 uplim / / / / / / / /  0.029  0.021  0.044  0.029 / / / / / / / /  13.00 0.10  0.079  0.019 -0.023  0.021 / / / / / / / / / / / / / / / / / / -2.2 0.6 0.3 -2.2 / -3.3 -3.3 -0.6 / / / / -1.5 1.0 1.0 / / / -1.5 0.8 0.5 / / / -1.6 0.9 0.7
J1144+0959 A -1696 -1483 13.5 0.2 0.2  12.72 uplim -0.004  0.004 / / / /  13.98 0.01  0.196  0.002  0.169  0.003 / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /  12.53 uplim / / / / / / / /  0.007  0.003 / / / / / / / / / /  12.08 uplim -0.002  0.004  0.002  0.003 / / / / / / / / / / / / / / / / / / -1.5 0.3 0.3 -2.1 / -2.4 -3.5 -0.7 / / / / -1.5 1.0 1.0 -1.9 0.2 0.2 -1.5 0.2 0.4 -0.3 0.9 0.6 -2.1 lolim lolim
J1144+0959 B -1483 -1195 18.1 0.2 0.4  13.15 0.07  0.025  0.005 / / / /  14.25 0.01  0.411  0.003  0.267  0.004 / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /  12.04 uplim / / / / / /  0.006  0.005 -0.046  0.009 / / / / / /  13.54 uplim  0.347  0.003  13.21 0.02  0.119  0.005  0.065  0.005 / / / / / / / / / / / / / / / / / / -1.7 0.5 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1144+0959 C -1195 -1075 18.3 0.2 0.4  13.27 0.04  0.030  0.003 / / / /  13.03 0.07 / /  0.020  0.003 / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /  12.48 0.04 / / / / / /  0.033  0.003  0.009  0.004 / / / / / /  13.14 uplim  0.147  0.002  12.41 0.06  0.021  0.004  0.010  0.002 / / / / / / / / / / / / / / / / / / -2.8 0.3 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1144+0959 D -1075 -535 17.9 0.5 0.5  13.47 0.04  0.053  0.005  12.97 uplim  0.010  0.005  13.86 0.01  0.248  0.004  0.121  0.004 / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /  12.71 uplim / / / / / / / /  0.007  0.004 / / / / / / / / / /  13.16 0.02  0.118  0.005  0.058  0.005 / / / / / / / / / / / / / / / / / / -2.3 0.3 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1144+0959 E -535 -68 15.6 0.2 0.2  12.84 0.10  0.013  0.003 / / / /  13.67 0.01  0.130  0.002  0.083  0.002 / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /  11.24 0.14  0.008  0.002  12.21 uplim / /  0.013  0.003  12.51 uplim / / / / / / / / -0.002  0.003 / / / / / / / / / /  12.88 0.02  0.058  0.003  0.031  0.003  12.65 uplim  0.005  0.002 / / / / / / / / / / / / / / -2.3 0.3 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1144+0959 F -68 197 18.4 0.2 0.4  14.24 lolim  0.168  0.004  12.86 uplim  0.009  0.004  14.73 lolim  0.519  0.003  0.456  0.002 / / / / / / / / / / / / / / / /  13.16 0.13  0.009  0.003 / / / / / / / / / / / / / /  12.52 0.01  0.094  0.003  13.06 0.02 / /  0.073  0.004  13.91 0.01  0.096  0.003 / /  0.101  0.004  0.174  0.003  0.100  0.004  0.048  0.004 / / / / / / / /  13.92 lolim  0.255  0.004  0.196  0.004  13.25 0.05  0.021  0.002 / / / / / / / / / / / / / / -2.0 0.5 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1145+0322 A -271 119 18.4 0.4 0.4  14.71 lolim  0.504  0.022  13.61 uplim  0.055  0.024  14.59 lolim  0.777  0.028  0.523  0.029 / / / / / / / / / / / / / / / /  14.08 0.14  0.083  0.027 / / / /  11.98 uplim  0.077  0.041  13.72 lolim  0.859  0.029  0.758  0.034  12.73 0.05  0.204  0.023  12.92 0.06  0.120  0.019  0.078  0.020  13.97 0.05  0.371  0.069 / /  0.315  0.025  0.496  0.043  0.201  0.025 / / / / / /  13.77 lolim  0.602  0.092  13.74 0.03  0.320  0.025  0.256  0.024  13.53 0.09  0.045  0.021  0.178  0.039  0.043  0.036 / /  0.189  0.036 / / / / / / -2.9 0.7 0.4 -2.9 / -1.8 -2.6  0.1 / / / / -1.5 1.0 1.0 -1.0 0.2 0.2 -1.1 0.4 0.4 -0.8 0.6 0.4 -1.2 lolim lolim
J1204+0221 A 67 217 18.6 0.4 0.4  14.63 lolim  0.363  0.005 / / / /  13.60 0.02  0.141  0.007 / /  13.34 0.05 / /  0.032  0.004  14.45 lolim  0.166  0.005  13.10 uplim / /  0.013  0.001  14.36 0.04  0.081  0.007  13.67 uplim / / / / / / / / / / / /  12.74 lolim  0.151  0.006  12.41 uplim  0.038  0.011 / /  13.89 0.03  0.139  0.004 / / / /  0.262  0.003  0.116  0.005 / / ****** uplim  0.007  0.004  13.66 lolim  0.441  0.004  12.93 0.03  0.065  0.005  0.046  0.005  13.34 0.10  0.025  0.006 / / / / / / / / / /  13.37 uplim -0.000  0.005 -3.3 0.3 0.4 -3.6 / -0.3 -2.0  0.8 / / / / -1.5 1.0 1.0 -0.6 lolim lolim -0.7 lolim lolim -1.3 0.2 0.2 -1.0 lolim lolim
J1204+0221 B 217 617 19.6 0.2 0.2  15.24 lolim  0.889  0.004 / / / /  14.09 0.01  0.382  0.007  0.195  0.008  14.01 lolim / /  0.143  0.005  15.10 lolim  0.589  0.005  13.81 uplim / /  0.065  0.002  15.61 0.02  0.692  0.007  14.58 uplim / / / / / / / / / / / /  13.32 0.01  0.619  0.009  12.68 0.08  0.068  0.014 / /  14.60 0.01 / / / /  0.416  0.009 / /  0.582  0.008  0.005  0.009  12.04 uplim -0.002  0.005  14.02 lolim  0.823  0.004  13.50 0.01  0.234  0.006  0.128  0.007  13.87 0.04  0.088  0.008 / / / / / / / / / /  13.35 uplim  0.008  0.004 -3.6 0.3 0.4 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1204+0221 C 617 767 18.6 0.4 0.4  14.79 lolim  0.364  0.004  13.62 0.03  0.061  0.005  13.66 0.02  0.158  0.007  0.051  0.008  14.29 0.01  0.049  0.004  0.213  0.004  14.80 lolim  0.272  0.004  12.58 uplim / / -0.000  0.001  15.25 lolim  0.284  0.007  13.70 uplim / / / / / / / / / / / /  12.79 0.02  0.181  0.007  12.28 uplim  0.001  0.010 / /  14.14 lolim  0.225  0.004 / / / / / /  0.170  0.006 -0.012  0.010 ****** uplim -0.002  0.003  13.59 lolim  0.339  0.003  12.79 0.04  0.039  0.006  0.032  0.005  13.57 0.07  0.045  0.007 / / / / / / / / / /  13.37 uplim -0.001  0.005 -3.6 0.3 0.4 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1420+1603 A -656 -420 15.8 1.0 1.0  13.65 uplim  0.083  0.027 / / / /  13.63 0.04  0.155  0.014 / / / / / / / / / / / /  13.56 uplim  0.008  0.026  0.011  0.030  14.01 uplim  0.032  0.024 / / / /  11.84 uplim  0.028  0.029  12.61 uplim  0.029  0.055 / /  12.01 uplim  0.029  0.016  12.45 uplim -0.032  0.016 -0.043  0.016  12.66 uplim / / / / / /  0.046  0.021  0.010  0.023 / / / / / / / / / /  12.87 0.14  0.061  0.020 -0.016  0.023  12.81 uplim  0.002  0.016  0.125  0.022  0.031  0.028  0.178  0.029 -0.002  0.031 -0.025  0.031  14.60 uplim  0.035  0.071 -2.5 0.7 0.4 -3.0 / -1.6 -2.5  0.2 / / / / -1.5 1.0 1.0 -0.3 lolim lolim -1.0 0.4 0.4 -0.9 0.4 0.4 -0.7 lolim lolim
J1420+1603 B -420 -199 18.5 0.4 0.4  14.44 lolim  0.341  0.023 / / / /  13.83 uplim  0.239  0.013 / / / / / / / / / / / /  13.60 uplim  0.031  0.028 -0.004  0.029  14.01 uplim  0.055  0.024 / / / /  11.81 uplim  0.072  0.027  13.24 lolim  0.523  0.030 / /  12.60 0.04  0.152  0.014  12.43 uplim -0.003  0.015 -0.018  0.015  13.49 0.12 / / / / / /  0.281  0.018  0.073  0.021 -0.015  0.018 / / / /  13.31 lolim  0.302  0.024  13.27 0.06  0.149  0.019  0.032  0.022  12.79 uplim -0.008  0.016  0.137  0.021  0.048  0.027  0.220  0.028  0.047  0.025  0.072  0.029  14.54 uplim  0.010  0.066 -3.0 0.3 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1420+1603 C -199 69 18.0 0.6 0.6  14.44 lolim  0.328  0.026 / / / /  14.23 lolim  0.398  0.013 / / / / / / / / / / / /  13.62 uplim -0.016  0.030  0.021  0.031  14.38 0.07  0.159  0.025 / / / /  11.90 uplim  0.070  0.033  13.51 lolim  0.435  0.032  0.525  0.046  12.42 0.06  0.107  0.015  12.47 uplim  0.010  0.016 -0.032  0.016  13.87 0.06 / / / / / /  0.238  0.020  0.160  0.022 / / / / / / / / / /  13.57 0.07  0.204  0.021  0.147  0.024  12.94 uplim -0.005  0.017  0.129  0.024  0.142  0.030  0.290  0.030  0.004  0.032  0.040  0.041  14.60 uplim  0.017  0.070 -3.1 0.3 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1420+1603 D 69 313 18.6 0.4 0.4  14.91 lolim  0.756  0.020 / / / /  14.57 lolim  0.815  0.010 / / / / / / / / / / / /  13.62 uplim -0.004  0.029  0.021  0.030  15.01 lolim  0.456  0.022 / / / /  12.33 0.07  0.255  0.039  13.97 lolim  1.500  0.033  1.149  0.026  13.29 lolim  0.557  0.012  12.87 0.06  0.103  0.015  0.010  0.015  14.35 0.02 / / / / / /  0.673  0.016  0.423  0.019  0.127  0.018 / / / /  14.03 lolim  0.933  0.021  14.02 0.03  0.492  0.019  0.354  0.021  13.76 0.01  0.068  0.016  0.345  0.022  0.356  0.029  0.692  0.028  0.240  0.027  0.544  0.033  14.59 uplim  0.141  0.063 -3.0 0.3 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1420+1603 E 313 535 18.6 0.4 0.4  14.86 lolim  0.650  0.019 / / / /  14.39 0.01 / /  0.391  0.011 / / / / / / / / / /  13.61 uplim  0.021  0.028  0.011  0.028  14.44 uplim  0.174  0.024 / / / /  12.01 uplim  0.115  0.042  13.70 lolim / /  0.727  0.026  12.82 0.02  0.254  0.013  12.67 0.09  0.073  0.015  0.008  0.015  13.93 0.04 / / / /  0.176  0.025  0.424  0.017  0.167  0.019 -0.045  0.018 / / / /  13.84 lolim  0.636  0.022  13.52 0.03  0.246  0.019  0.148  0.023  13.41 0.03  0.045  0.016  0.142  0.022  0.139  0.028  0.390  0.028  0.075  0.037  0.245  0.030  14.69 uplim  0.200  0.061 -3.0 0.3 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1420+1603 F 535 693 17.5 1.0 1.0  13.97 0.06  0.154  0.019  14.06 0.05  0.164  0.019  14.12 0.02 / /  0.208  0.009 / / / / / / / / / /  13.53 uplim -0.009  0.024  0.007  0.023  14.45 uplim  0.160  0.022 / / / /  11.95 uplim  0.035  0.038  12.82 0.04  0.242  0.026  0.146  0.024  11.98 0.12  0.043  0.012  12.36 uplim -0.002  0.013 -0.006  0.013  13.00 0.06 / / / /  0.027  0.024  0.126  0.018  0.018  0.016 / /  12.62 uplim  0.021  0.017  13.04 0.06  0.179  0.021  12.94 0.11  0.070  0.017  0.033  0.019  12.69 uplim -0.021  0.014  0.010  0.019  0.231  0.023  0.040  0.026 -0.008  0.023 -0.017  0.028  14.56 uplim  0.166  0.048 -2.9 0.3 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1427-0121 A 172 293 17.3 0.5 1.0  13.91 0.03  0.106  0.006 / / / /  14.26 0.03  0.280  0.011  0.236  0.011 / / / / / / / / / / / / / / / /  13.42 uplim  0.005  0.006 / / / / / / / / / / / / / / / / / / / / / / / /  12.73 0.03 / / / / / /  0.060  0.004 / / / / / / / /  13.06 0.03  0.158  0.006  12.86 0.04  0.052  0.005  0.031  0.006  12.24 uplim / / / / -0.000  0.009  0.020  0.009 / /  0.014  0.011 / / / / -3.1 0.5 0.3 -3.0 uplim -1.3 -2.6  0.2 / / / / -1.5 1.0 1.0 -1.1 0.2 0.2 -2.1 0.2 1.3 / / / -1.7 0.2 1.4
J1427-0121 B 293 739 18.3 0.2 1.0  14.03 0.02  0.179  0.010  12.99 uplim  0.007  0.006  14.52 0.02  0.674  0.018  0.480  0.019 / / / / / / / / / / / / / / / /  13.40 uplim  0.005  0.006 / / / / / / / / / / / / / / / / / / / / / / / /  12.84 0.03 / / / / / /  0.090  0.006 / / / / / / / / / / / /  13.14 0.05  0.088  0.010  0.054  0.010  12.48 uplim / / / / -0.004  0.016  0.019  0.016 / / -0.022  0.018 / / / / -2.6 0.4 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1427-0121 C 739 842 18.6 0.2 1.0  14.07 0.03  0.130  0.004  13.50 0.04  0.048  0.004  13.15 uplim / /  0.023  0.009 / / / / / / / / / / / / / / / /  14.22 0.03  0.080  0.005 / / / / / / / / / / / / / / / / / / / / / / / /  12.73 0.02 / / / / / /  0.054  0.003  0.034  0.013 / / / / / / / / / /  12.16 uplim  0.007  0.004 -0.004  0.005  12.10 uplim / / / /  0.002  0.009  0.009  0.007 / /  0.014  0.008 / / / / -3.4 uplim uplim N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J1553+1921 A -342 258 20.2 0.1 0.1  14.92 lolim  0.950  0.067  13.93 uplim -0.034  0.052  14.57 0.03  0.757  0.036  0.566  0.036 / / / / / / / / / / / / / / / /  15.05 lolim  0.436  0.053 / / / /  12.46 0.07  0.320  0.056  14.09 lolim  1.953  0.070  1.405  0.055  13.36 lolim  0.633  0.031  13.11 0.07  0.188  0.033  0.075  0.033  15.26 0.14  0.749  0.093 / /  0.358  0.055  0.968  0.032  0.512  0.055  0.110  0.035 / / / /  14.03 lolim  1.199  0.064  13.82 0.10  0.718  0.049  0.188  0.059  14.02 0.03  0.222  0.032  0.345  0.044  0.292  0.051  1.184  0.051  0.400  0.058  0.673  0.056  15.13 uplim  0.416  0.197 -3.2 0.3 0.3 -3.2 / -0.3 -2.3  0.4  2.6 nHI,uplim / / -1.5 1.0 1.0 -1.8 lolim lolim -0.6 0.2 0.2 -1.7 0.1 0.1  0.2 lolim lolim
